"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row href","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6","tablescraper-selected-row 7","tablescraper-selected-row 8"
"1","George Heriot's School","https://scotland.getmeactive.org.uk/organisations/6461/dashboard","26% (51/200)","1070","8,555 miles","914kg","243,082","£1,039.89"
"2","Genesis","https://scotland.getmeactive.org.uk/organisations/6516/dashboard","15% (27/178)","518","2,908 miles","214kg","119,946","£360.80"
"3","University of Edinburgh - EPCC","https://scotland.getmeactive.org.uk/organisations/6572/dashboard","13% (16/120)","432","1,646 miles","38kg","111,005","£93.86"
"4","Changeworks","https://scotland.getmeactive.org.uk/organisations/6529/dashboard","13% (22/170)","406","1,942 miles","247kg","66,063","£325.37"
"5","Bethany Christian Trust","https://scotland.getmeactive.org.uk/organisations/6548/dashboard","7% (16/220)","341","1,866 miles","137kg","90,156","£340.53"
"6","Edinburgh Instruments","https://scotland.getmeactive.org.uk/organisations/6522/dashboard","3% (5/150)","167","1,657 miles","123kg","44,415","£244.73"
"7","Highland Hospice","https://scotland.getmeactive.org.uk/organisations/6528/dashboard","3% (6/200)","132","784 miles","25kg","27,552","£42.05"
"8","University of Aberdeen","https://scotland.getmeactive.org.uk/organisations/6506/dashboard","3% (5/200)","286","539 miles","6kg","29,428","£11.33"
"8","NHSG Test & Protect","https://scotland.getmeactive.org.uk/organisations/6509/dashboard","3% (5/200)","28","88 miles","2kg","7,768","£4.22"
"10","L'Arche Highland","https://scotland.getmeactive.org.uk/organisations/6418/dashboard","2% (2/110)","78","143 miles","0kg","7,237","£0.00"
"11","AutoRek","https://scotland.getmeactive.org.uk/organisations/6456/dashboard","2% (2/115)","38","95 miles","8kg","6,878","£21.75"
"12","Zero Waste Scotland","https://scotland.getmeactive.org.uk/organisations/6535/dashboard","2% (3/185)","63","419 miles","15kg","23,440","£32.60"
"13","Spire Global","https://scotland.getmeactive.org.uk/organisations/6570/dashboard","1% (1/100)","43","245 miles","3kg","14,926","£6.19"
"13","SNBTS","https://scotland.getmeactive.org.uk/organisations/6594/dashboard","1% (1/100)","32","824 miles","0kg","3,976","£0.00"
"13","Royal Scottish National Orchestra","https://scotland.getmeactive.org.uk/organisations/6429/dashboard","1% (1/100)","27","995 miles","0kg","7,665","£1.68"
"16","University of Edinburgh - Centre for Open Learning","https://scotland.getmeactive.org.uk/organisations/6592/dashboard","0.8% (1/120)","42","170 miles","25kg","14,873","£71.76"
"17","GSK Irvine","https://scotland.getmeactive.org.uk/organisations/6426/dashboard","0.5% (1/220)","23","299 miles","81kg","16,068","£138.00"
"18","123 St Vincent Street - Cabinet Office","https://scotland.getmeactive.org.uk/organisations/6451/dashboard","0% (0/100)","0","0 miles","0kg","0","£0.00"
"18","Leidos","https://scotland.getmeactive.org.uk/organisations/6449/dashboard","0% (0/140)","0","0 miles","0kg","0","£0.00"
"18","Lorn & Islands Hospital","https://scotland.getmeactive.org.uk/organisations/6459/dashboard","0% (0/100)","0","0 miles","0kg","0","£0.00"
"18","RES Group","https://scotland.getmeactive.org.uk/organisations/6500/dashboard","0% (0/100)","0","0 miles","0kg","0","£0.00"
"18","Royal Mail - Edinburgh North West","https://scotland.getmeactive.org.uk/organisations/6481/dashboard","0% (0/100)","0","0 miles","0kg","0","£0.00"
"18","Scottish Forestry","https://scotland.getmeactive.org.uk/organisations/6581/dashboard","0% (0/100)","0","0 miles","0kg","0","£0.00"
"18","Westerhailes Healthy Living Centre","https://scotland.getmeactive.org.uk/organisations/6435/dashboard","0% (0/200)","0","0 miles","0kg","0","£0.00"
