PID,Workplace,Sector,Journeys,Distance,CO2saved,Caloriesburned,Moneysaved,ParticipationDenominator,ParticipationNumerator,ParticipationPercentage
128,Royal Scottish National Orchestra,Art,27,995,0,7665,1.68,100,1,1
39,Smith Scott Mullan Associates,Built Environment,459,2276,98,82646,176.67,32,18,56
56,Fairhurst Glasgow,Built Environment,70,491,78,8852,91.25,50,2,4
58,LDN Architects,Built Environment,8,10,0,945,0,36,1,3
59,DSSR Ltd (Glasgow),Built Environment,10,115,17,193,19.96,37,1,3
64,Jacobs,Built Environment,406,1665,58,102153,126.57,400,22,6
69,Booth Welsh,Built Environment,59,413,73,15168,125.77,340,4,1
82,Helen Lucas Architects Ltd,Built Environment,174,1383,92,45693,138.36,14,7,50
83,"Tuffin Ferraby Taylor (TFT), Edinburgh",Built Environment,80,2339,691,15073,137.51,10,5,50
95,BIM Tech,Built Environment,28,171,39,11466,67.2,8,1,13
118,Bethany Christian Trust,Charity,341,1866,137,90156,340.53,220,16,7
123,L'Arche Highland,Charity,78,143,0,7237,0,110,2,2
125,Zero Waste Scotland,Charity,63,419,15,23440,32.6,185,3,2
32,Leonardo,Defence,16,94,0,5212,0,2000,1,0.05
4,Edinburgh Napier University,Education,147,2644,215,28339,222.73,1856,14,0.8
7,University of St Andrews,Education,281,1337,116,35558,181.56,2830,16,0.6
16,Heriot-Watt University,Education,64,341,0,22537,0,1700,3,0.2
19,University of Strathclyde,Education,90,211,8,12360,16.14,3500,5,0.1
34,Forth Valley College,Education,73,391,39,18912,55.42,15000,5,0.03
36,Glasgow Caledonian University,Education,2,2,0,107,0,5000,1,0.02
46,Highlands and Islands Students' Association,Education,51,528,74,14401,90,43,5,12
47,"St George's School, Edinburgh",Education,74,448,39,25294,81.31,60,6,10
65,Dollar Academy,Education,269,1090,76,48356,120.61,260,11,4
67,University of Edinburgh - LLC,Education,159,497,12,23103,26.89,300,7,2
76,EAUC Scotland,Education,70,1504,190,6698,7.33,6,6,100
90,University of St Andrews Libraries and Museums Cataloguing,Education,90,328,43,16997,80.04,11,2,18
92,Troqueer Nursery,Education,6,38,0,3466,0,12,2,17
93,Highland Theological College UHI,Education,96,628,16,40490,27.57,19,3,16
107,North East Scotland College,Education,174,658,-7,22487,-20.05,600,5,0.8
